[12:26:59] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[12:26:59] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[12:27:01] 
=== 1BJ4 L=470 q@pH: 5.0:+21.24 6.0:+9.21 7.4:+0.42 8.0:-2.44 9.0:-9.78 ===
[12:27:01]   [T2 cal] source=per-protein(1BJ4) slope=2.179 inter=-4.111
[12:28:42]   [T3 cal 5.0] slope=1.2729 inter=-2.133 LOOCV=3.74
[12:30:23]   [T3 cal 5.5] slope=1.9537 inter=-10.9391 LOOCV=2.48
[12:32:04]   [T3 cal 6.0] slope=1.9117 inter=-7.5002 LOOCV=3.05
[12:33:44]   [T3 cal 6.5] slope=2.2515 inter=-7.5204 LOOCV=1.72
[12:35:26]   [T3 cal 7.0] slope=2.2701 inter=-5.671 LOOCV=2.85
[12:37:07]   [T3 cal 7.4] slope=1.9852 inter=-4.0129 LOOCV=2.11
[12:38:48]   [T3 cal 8.0] slope=2.6396 inter=-1.6432 LOOCV=2.03
[12:40:28]   [T3 cal 8.5] slope=2.6439 inter=-1.0497 LOOCV=1.79
[12:42:09]   [T3 cal 9.0] slope=2.0228 inter=1.0688 LOOCV=1.79
[12:44:10]     [T1 1BJ4 pH5.0 native] target=+21 eff=+21.000 n=60 (121s)
[12:46:11]     [T1 1BJ4 pH5.0 n2] target=+19 eff=+19.000 n=60 (121s)
[12:48:12]     [T1 1BJ4 pH5.0 p2] target=+23 eff=+23.000 n=60 (121s)
[12:50:13]     [T1 1BJ4 pH5.0 n8] target=+13 eff=+13.000 n=60 (121s)
[12:52:14]     [T1 1BJ4 pH5.0 p8] target=+29 eff=+29.000 n=60 (121s)
[12:54:15]     [T1 1BJ4 pH5.5 native] target=+15 eff=+15.000 n=60 (121s)
[12:56:16]     [T1 1BJ4 pH5.5 n2] target=+13 eff=+13.000 n=60 (121s)
[12:58:17]     [T1 1BJ4 pH5.5 p2] target=+17 eff=+17.000 n=60 (121s)
[13:00:17]     [T1 1BJ4 pH5.5 n8] target=+7 eff=+7.000 n=60 (121s)
[13:02:18]     [T1 1BJ4 pH5.5 p8] target=+23 eff=+23.000 n=60 (121s)
[13:04:19]     [T1 1BJ4 pH6.0 native] target=+9 eff=+9.000 n=60 (121s)
[13:06:20]     [T1 1BJ4 pH6.0 n2] target=+7 eff=+7.000 n=60 (121s)
[13:08:12]     [T1 1BJ4 pH6.0 p2] target=+11 eff=+11.000 n=60 (112s)
[13:09:58]     [T1 1BJ4 pH6.0 n8] target=+1 eff=+1.000 n=60 (105s)
[13:11:43]     [T1 1BJ4 pH6.0 p8] target=+17 eff=+17.000 n=60 (105s)
[13:13:24]     [T1 1BJ4 pH6.5 native] target=+5 eff=+5.000 n=60 (101s)
[13:14:53]     [T1 1BJ4 pH6.5 n2] target=+3 eff=+3.000 n=60 (89s)
[13:16:21]     [T1 1BJ4 pH6.5 p2] target=+7 eff=+7.000 n=60 (88s)
[13:17:50]     [T1 1BJ4 pH6.5 n8] target=-3 eff=-3.000 n=60 (89s)
[13:19:18]     [T1 1BJ4 pH6.5 p8] target=+13 eff=+13.000 n=60 (89s)
[13:20:47]     [T1 1BJ4 pH7.0 native] target=+2 eff=+2.000 n=60 (89s)
[13:22:16]     [T1 1BJ4 pH7.0 n2] target=+0 eff=+0.000 n=60 (89s)
[13:23:45]     [T1 1BJ4 pH7.0 p2] target=+4 eff=+4.000 n=60 (89s)
[13:25:14]     [T1 1BJ4 pH7.0 n8] target=-6 eff=-6.000 n=60 (89s)
[13:26:42]     [T1 1BJ4 pH7.0 p8] target=+10 eff=+10.000 n=60 (89s)
[13:28:11]     [T1 1BJ4 pH7.4 native] target=+0 eff=+0.000 n=60 (89s)
[13:29:39]     [T1 1BJ4 pH7.4 n2] target=-2 eff=-2.000 n=60 (89s)
[13:31:08]     [T1 1BJ4 pH7.4 p2] target=+2 eff=+2.000 n=60 (88s)
[13:32:36]     [T1 1BJ4 pH7.4 n8] target=-8 eff=-8.000 n=60 (89s)
