[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[11:25:41] 
=== 1CGE L=162 q@pH: 5.0:-1.22 6.0:-7.21 7.4:-11.66 8.0:-11.98 9.0:-12.66 ===
[11:25:41]   [T2 cal] source=per-protein(1CGE) slope=0.983 inter=-2.349
[11:26:22]   [T3 cal 5.0] slope=0.8916 inter=-5.6416 LOOCV=1.01
[11:27:02]   [T3 cal 5.5] slope=1.1511 inter=-3.5982 LOOCV=1.34
[11:27:42]   [T3 cal 6.0] slope=1.1872 inter=-1.9752 LOOCV=0.82
[11:28:23]   [T3 cal 6.5] slope=1.1532 inter=-1.384 LOOCV=1.54
[11:29:03]   [T3 cal 7.0] slope=1.2186 inter=0.0117 LOOCV=1.08
[11:29:43]   [T3 cal 7.4] slope=1.0756 inter=-0.5076 LOOCV=2.4
[11:30:23]   [T3 cal 8.0] slope=0.9815 inter=-1.3121 LOOCV=2.26
[11:31:03]   [T3 cal 8.5] slope=1.0882 inter=0.5398 LOOCV=4.0
[11:31:43]   [T3 cal 9.0] slope=1.0052 inter=-0.0798 LOOCV=2.37
[11:32:32]     [T1 1CGE pH5.0 native] target=-1 eff=-1.000 n=60 (48s)
[11:33:20]     [T1 1CGE pH5.0 n2] target=-3 eff=-3.000 n=60 (48s)
[11:34:08]     [T1 1CGE pH5.0 p2] target=+1 eff=+1.000 n=60 (48s)
[11:34:56]     [T1 1CGE pH5.0 n8] target=-9 eff=-9.000 n=60 (48s)
[11:35:45]     [T1 1CGE pH5.0 p8] target=+7 eff=+7.000 n=60 (48s)
[11:36:34]     [T1 1CGE pH5.5 native] target=-4 eff=-4.000 n=60 (49s)
[11:37:22]     [T1 1CGE pH5.5 n2] target=-6 eff=-6.000 n=60 (48s)
[11:38:10]     [T1 1CGE pH5.5 p2] target=-2 eff=-2.000 n=60 (48s)
[11:38:59]     [T1 1CGE pH5.5 n8] target=-12 eff=-12.000 n=60 (48s)
[11:39:47]     [T1 1CGE pH5.5 p8] target=+4 eff=+4.000 n=60 (48s)
[11:40:35]     [T1 1CGE pH6.0 native] target=-7 eff=-7.000 n=60 (48s)
[11:41:23]     [T1 1CGE pH6.0 n2] target=-9 eff=-9.000 n=60 (48s)
[11:42:12]     [T1 1CGE pH6.0 p2] target=-5 eff=-5.000 n=60 (48s)
[11:43:00]     [T1 1CGE pH6.0 n8] target=-15 eff=-15.000 n=60 (48s)
[11:43:48]     [T1 1CGE pH6.0 p8] target=+1 eff=+1.000 n=60 (48s)
[11:44:36]     [T1 1CGE pH6.5 native] target=-10 eff=-10.000 n=60 (48s)
[11:45:25]     [T1 1CGE pH6.5 n2] target=-12 eff=-12.000 n=60 (48s)
[11:46:13]     [T1 1CGE pH6.5 p2] target=-8 eff=-8.000 n=60 (48s)
[11:47:01]     [T1 1CGE pH6.5 n8] target=-18 eff=-18.000 n=60 (48s)
[11:47:49]     [T1 1CGE pH6.5 p8] target=-2 eff=-2.000 n=60 (48s)
[11:48:38]     [T1 1CGE pH7.0 native] target=-11 eff=-11.000 n=60 (48s)
[11:49:26]     [T1 1CGE pH7.0 n2] target=-13 eff=-13.000 n=60 (48s)
[11:50:14]     [T1 1CGE pH7.0 p2] target=-9 eff=-9.000 n=60 (48s)
[11:51:02]     [T1 1CGE pH7.0 n8] target=-19 eff=-19.000 n=60 (48s)
[11:51:50]     [T1 1CGE pH7.0 p8] target=-3 eff=-3.000 n=60 (48s)
[11:52:39]     [T1 1CGE pH7.4 native] target=-12 eff=-12.000 n=60 (48s)
[11:53:27]     [T1 1CGE pH7.4 n2] target=-14 eff=-14.000 n=60 (48s)
[11:54:15]     [T1 1CGE pH7.4 p2] target=-10 eff=-10.000 n=60 (48s)
[11:55:03]     [T1 1CGE pH7.4 n8] target=-20 eff=-20.000 n=60 (48s)
[11:55:52]     [T1 1CGE pH7.4 p8] target=-4 eff=-4.000 n=60 (48s)
[11:56:40]     [T1 1CGE pH8.0 native] target=-12 eff=-12.000 n=60 (49s)
[11:57:29]     [T1 1CGE pH8.0 n2] target=-14 eff=-14.000 n=60 (48s)
[11:58:17]     [T1 1CGE pH8.0 p2] target=-10 eff=-10.000 n=60 (48s)
[11:59:05]     [T1 1CGE pH8.0 n8] target=-20 eff=-20.000 n=60 (48s)
[11:59:54]     [T1 1CGE pH8.0 p8] target=-4 eff=-4.000 n=60 (48s)
[12:00:42]     [T1 1CGE pH8.5 native] target=-12 eff=-12.000 n=60 (48s)
[12:01:30]     [T1 1CGE pH8.5 n2] target=-14 eff=-14.000 n=60 (48s)
[12:02:18]     [T1 1CGE pH8.5 p2] target=-10 eff=-10.000 n=60 (48s)
[12:03:07]     [T1 1CGE pH8.5 n8] target=-20 eff=-20.000 n=60 (48s)
[12:03:55]     [T1 1CGE pH8.5 p8] target=-4 eff=-4.000 n=60 (48s)
[12:04:43]     [T1 1CGE pH9.0 native] target=-13 eff=-13.000 n=60 (48s)
[12:05:31]     [T1 1CGE pH9.0 n2] target=-15 eff=-15.000 n=60 (48s)
[12:06:20]     [T1 1CGE pH9.0 p2] target=-11 eff=-11.000 n=60 (48s)
[12:07:08]     [T1 1CGE pH9.0 n8] target=-21 eff=-21.000 n=60 (48s)
[12:07:56]     [T1 1CGE pH9.0 p8] target=-5 eff=-5.000 n=60 (48s)
[12:08:44]     [T2 1CGE pH5.0 native] target=-1 eff=+1.372 n=60 (48s)
[12:09:33]     [T2 1CGE pH5.0 n2] target=-3 eff=-0.662 n=60 (48s)
[12:10:21]     [T2 1CGE pH5.0 p2] target=+1 eff=+3.407 n=60 (48s)
[12:11:09]     [T2 1CGE pH5.0 n8] target=-9 eff=-6.766 n=60 (49s)
[12:11:58]     [T2 1CGE pH5.0 p8] target=+7 eff=+9.511 n=60 (48s)
[12:12:46]     [T2 1CGE pH5.5 native] target=-4 eff=-1.680 n=60 (48s)
[12:13:34]     [T2 1CGE pH5.5 n2] target=-6 eff=-3.714 n=60 (48s)
[12:14:22]     [T2 1CGE pH5.5 p2] target=-2 eff=+0.355 n=60 (48s)
[12:15:11]     [T2 1CGE pH5.5 n8] target=-12 eff=-9.818 n=60 (48s)
[12:15:59]     [T2 1CGE pH5.5 p8] target=+4 eff=+6.459 n=60 (48s)
[12:16:47]     [T2 1CGE pH6.0 native] target=-7 eff=-4.731 n=60 (48s)
[12:17:35]     [T2 1CGE pH6.0 n2] target=-9 eff=-6.766 n=60 (48s)
[12:18:24]     [T2 1CGE pH6.0 p2] target=-5 eff=-2.697 n=60 (48s)
[12:19:12]     [T2 1CGE pH6.0 n8] target=-15 eff=-12.870 n=60 (48s)
[12:20:00]     [T2 1CGE pH6.0 p8] target=+1 eff=+3.407 n=60 (48s)
[12:20:48]     [T2 1CGE pH6.5 native] target=-10 eff=-7.783 n=60 (48s)
[12:21:37]     [T2 1CGE pH6.5 n2] target=-12 eff=-9.818 n=60 (48s)
[12:22:25]     [T2 1CGE pH6.5 p2] target=-8 eff=-5.749 n=60 (48s)
[12:23:13]     [T2 1CGE pH6.5 n8] target=-18 eff=-15.922 n=60 (48s)
[12:24:01]     [T2 1CGE pH6.5 p8] target=-2 eff=+0.355 n=60 (48s)
[12:24:49]     [T2 1CGE pH7.0 native] target=-11 eff=-8.801 n=60 (48s)
[12:25:38]     [T2 1CGE pH7.0 n2] target=-13 eff=-10.835 n=60 (48s)
[12:26:23]     [T2 1CGE pH7.0 p2] target=-9 eff=-6.766 n=60 (45s)
[12:27:00]     [T2 1CGE pH7.0 n8] target=-19 eff=-16.939 n=60 (37s)
[12:27:42]     [T2 1CGE pH7.0 p8] target=-3 eff=-0.662 n=60 (42s)
[12:28:25]     [T2 1CGE pH7.4 native] target=-12 eff=-9.818 n=60 (43s)
[12:29:08]     [T2 1CGE pH7.4 n2] target=-14 eff=-11.852 n=60 (43s)
[12:29:50]     [T2 1CGE pH7.4 p2] target=-10 eff=-7.783 n=60 (43s)
[12:30:34]     [T2 1CGE pH7.4 n8] target=-20 eff=-17.956 n=60 (43s)
[12:31:16]     [T2 1CGE pH7.4 p8] target=-4 eff=-1.680 n=60 (43s)
[12:31:59]     [T2 1CGE pH8.0 native] target=-12 eff=-9.818 n=60 (43s)
[12:32:42]     [T2 1CGE pH8.0 n2] target=-14 eff=-11.852 n=60 (43s)
[12:33:25]     [T2 1CGE pH8.0 p2] target=-10 eff=-7.783 n=60 (43s)
[12:34:07]     [T2 1CGE pH8.0 n8] target=-20 eff=-17.956 n=60 (43s)
[12:34:50]     [T2 1CGE pH8.0 p8] target=-4 eff=-1.680 n=60 (43s)
[12:35:32]     [T2 1CGE pH8.5 native] target=-12 eff=-9.818 n=60 (43s)
[12:36:15]     [T2 1CGE pH8.5 n2] target=-14 eff=-11.852 n=60 (43s)
[12:36:58]     [T2 1CGE pH8.5 p2] target=-10 eff=-7.783 n=60 (43s)
[12:37:40]     [T2 1CGE pH8.5 n8] target=-20 eff=-17.956 n=60 (43s)
[12:38:23]     [T2 1CGE pH8.5 p8] target=-4 eff=-1.680 n=60 (43s)
[12:39:06]     [T2 1CGE pH9.0 native] target=-13 eff=-10.835 n=60 (43s)
[12:39:48]     [T2 1CGE pH9.0 n2] target=-15 eff=-12.870 n=60 (43s)
[12:40:31]     [T2 1CGE pH9.0 p2] target=-11 eff=-8.801 n=60 (43s)
[12:41:13]     [T2 1CGE pH9.0 n8] target=-21 eff=-18.974 n=60 (43s)
[12:41:56]     [T2 1CGE pH9.0 p8] target=-5 eff=-2.697 n=60 (43s)
[12:42:39]     [T3 1CGE pH5.0 native] target=-1 eff=+5.206 n=60 (43s)
[12:43:21]     [T3 1CGE pH5.0 n2] target=-3 eff=+2.963 n=60 (43s)
[12:44:04]     [T3 1CGE pH5.0 p2] target=+1 eff=+7.449 n=60 (43s)
[12:44:47]     [T3 1CGE pH5.0 n8] target=-9 eff=-3.767 n=60 (43s)
[12:45:29]     [T3 1CGE pH5.0 p8] target=+7 eff=+14.179 n=60 (43s)
