[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[11:25:42] 
=== 5O60_E L=209 q@pH: 5.0:+17.85 6.0:+13.76 7.4:+11.18 8.0:+10.95 9.0:+10.02 ===
[11:25:42]   [T2 cal] source=per-protein(5O60_E) slope=1.78 inter=-0.705
[11:26:34]   [T3 cal 5.0] slope=1.441 inter=0.5401 LOOCV=3.0
[11:27:26]   [T3 cal 5.5] slope=1.2953 inter=3.482 LOOCV=4.38
[11:28:17]   [T3 cal 6.0] slope=1.6548 inter=-2.0448 LOOCV=0.9
[11:29:09]   [T3 cal 6.5] slope=1.5592 inter=-1.8161 LOOCV=1.21
[11:30:00]   [T3 cal 7.0] slope=1.7119 inter=-2.246 LOOCV=2.26
[11:30:52]   [T3 cal 7.4] slope=1.6501 inter=-0.6175 LOOCV=1.62
[11:31:43]   [T3 cal 8.0] slope=1.6113 inter=-0.6391 LOOCV=0.56
[11:32:34]   [T3 cal 8.5] slope=1.7303 inter=-2.7327 LOOCV=2.9
[11:33:26]   [T3 cal 9.0] slope=1.5846 inter=-1.0181 LOOCV=1.18
[11:34:27]     [T1 5O60_E pH5.0 native] target=+18 eff=+18.000 n=60 (62s)
[11:35:29]     [T1 5O60_E pH5.0 n2] target=+16 eff=+16.000 n=60 (62s)
[11:36:32]     [T1 5O60_E pH5.0 p2] target=+20 eff=+20.000 n=60 (63s)
[11:37:33]     [T1 5O60_E pH5.0 n8] target=+10 eff=+10.000 n=60 (62s)
[11:38:35]     [T1 5O60_E pH5.0 p8] target=+26 eff=+26.000 n=60 (62s)
[11:39:37]     [T1 5O60_E pH5.5 native] target=+16 eff=+16.000 n=60 (62s)
[11:40:38]     [T1 5O60_E pH5.5 n2] target=+14 eff=+14.000 n=60 (62s)
[11:41:40]     [T1 5O60_E pH5.5 p2] target=+18 eff=+18.000 n=60 (62s)
[11:42:42]     [T1 5O60_E pH5.5 n8] target=+8 eff=+8.000 n=60 (62s)
[11:43:43]     [T1 5O60_E pH5.5 p8] target=+24 eff=+24.000 n=60 (62s)
[11:44:45]     [T1 5O60_E pH6.0 native] target=+14 eff=+14.000 n=60 (62s)
[11:45:46]     [T1 5O60_E pH6.0 n2] target=+12 eff=+12.000 n=60 (62s)
[11:46:48]     [T1 5O60_E pH6.0 p2] target=+16 eff=+16.000 n=60 (62s)
[11:47:49]     [T1 5O60_E pH6.0 n8] target=+6 eff=+6.000 n=60 (62s)
[11:48:51]     [T1 5O60_E pH6.0 p8] target=+22 eff=+22.000 n=60 (62s)
[11:49:53]     [T1 5O60_E pH6.5 native] target=+12 eff=+12.000 n=60 (62s)
[11:50:54]     [T1 5O60_E pH6.5 n2] target=+10 eff=+10.000 n=60 (62s)
[11:51:56]     [T1 5O60_E pH6.5 p2] target=+14 eff=+14.000 n=60 (62s)
[11:52:57]     [T1 5O60_E pH6.5 n8] target=+4 eff=+4.000 n=60 (62s)
[11:53:59]     [T1 5O60_E pH6.5 p8] target=+20 eff=+20.000 n=60 (62s)
[11:55:01]     [T1 5O60_E pH7.0 native] target=+11 eff=+11.000 n=60 (62s)
[11:56:02]     [T1 5O60_E pH7.0 n2] target=+9 eff=+9.000 n=60 (62s)
[11:57:04]     [T1 5O60_E pH7.0 p2] target=+13 eff=+13.000 n=60 (62s)
[11:58:05]     [T1 5O60_E pH7.0 n8] target=+3 eff=+3.000 n=60 (62s)
[11:59:07]     [T1 5O60_E pH7.0 p8] target=+19 eff=+19.000 n=60 (62s)
[12:00:09]     [T1 5O60_E pH7.4 native] target=+11 eff=+11.000 n=60 (62s)
[12:01:10]     [T1 5O60_E pH7.4 n2] target=+9 eff=+9.000 n=60 (62s)
[12:02:12]     [T1 5O60_E pH7.4 p2] target=+13 eff=+13.000 n=60 (62s)
[12:03:13]     [T1 5O60_E pH7.4 n8] target=+3 eff=+3.000 n=60 (62s)
[12:04:15]     [T1 5O60_E pH7.4 p8] target=+19 eff=+19.000 n=60 (62s)
[12:05:16]     [T1 5O60_E pH8.0 native] target=+11 eff=+11.000 n=60 (62s)
