[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[11:25:41] 
=== 1AS2 L=312 q@pH: 5.0:+8.66 6.0:+1.55 7.4:-2.69 8.0:-4.81 9.0:-10.59 ===
[11:25:41]   [T2 cal] source=per-protein(1AS2) slope=2.087 inter=-3.6
[11:26:57]   [T3 cal 5.0] slope=1.1736 inter=-5.1594 LOOCV=3.51
[11:28:12]   [T3 cal 5.5] slope=1.7598 inter=-7.2889 LOOCV=0.84
[11:29:27]   [T3 cal 6.0] slope=2.1684 inter=-5.2649 LOOCV=4.76
[11:30:42]   [T3 cal 6.5] slope=1.8314 inter=-5.6104 LOOCV=1.95
[11:31:58]   [T3 cal 7.0] slope=2.049 inter=-4.4258 LOOCV=3.63
[11:33:13]   [T3 cal 7.4] slope=2.3099 inter=-3.4177 LOOCV=2.06
[11:34:28]   [T3 cal 8.0] slope=2.2155 inter=-0.7136 LOOCV=2.13
[11:35:43]   [T3 cal 8.5] slope=2.2105 inter=1.4766 LOOCV=2.2
[11:37:00]   [T3 cal 9.0] slope=2.0462 inter=1.7279 LOOCV=2.77
[11:38:30]     [T1 1AS2 pH5.0 native] target=+9 eff=+9.000 n=60 (90s)
[11:40:00]     [T1 1AS2 pH5.0 n2] target=+7 eff=+7.000 n=60 (90s)
[11:41:31]     [T1 1AS2 pH5.0 p2] target=+11 eff=+11.000 n=60 (90s)
[11:43:01]     [T1 1AS2 pH5.0 n8] target=+1 eff=+1.000 n=60 (90s)
[11:44:31]     [T1 1AS2 pH5.0 p8] target=+17 eff=+17.000 n=60 (90s)
[11:46:02]     [T1 1AS2 pH5.5 native] target=+4 eff=+4.000 n=60 (90s)
[11:47:32]     [T1 1AS2 pH5.5 n2] target=+2 eff=+2.000 n=60 (90s)
[11:49:03]     [T1 1AS2 pH5.5 p2] target=+6 eff=+6.000 n=60 (91s)
[11:50:33]     [T1 1AS2 pH5.5 n8] target=-4 eff=-4.000 n=60 (90s)
[11:52:03]     [T1 1AS2 pH5.5 p8] target=+12 eff=+12.000 n=60 (90s)
[11:53:34]     [T1 1AS2 pH6.0 native] target=+2 eff=+2.000 n=60 (90s)
[11:55:04]     [T1 1AS2 pH6.0 n2] target=+0 eff=+0.000 n=60 (91s)
[11:56:35]     [T1 1AS2 pH6.0 p2] target=+4 eff=+4.000 n=60 (91s)
[11:58:05]     [T1 1AS2 pH6.0 n8] target=-6 eff=-6.000 n=60 (90s)
[11:59:36]     [T1 1AS2 pH6.0 p8] target=+10 eff=+10.000 n=60 (90s)
[12:01:06]     [T1 1AS2 pH6.5 native] target=+0 eff=+0.000 n=60 (90s)
[12:02:36]     [T1 1AS2 pH6.5 n2] target=-2 eff=-2.000 n=60 (90s)
[12:04:07]     [T1 1AS2 pH6.5 p2] target=+2 eff=+2.000 n=60 (90s)
[12:05:37]     [T1 1AS2 pH6.5 n8] target=-8 eff=-8.000 n=60 (90s)
[12:07:07]     [T1 1AS2 pH6.5 p8] target=+8 eff=+8.000 n=60 (90s)
