[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[11:25:41] 
=== 1AZM L=258 q@pH: 5.0:+11.19 6.0:+3.86 7.4:-1.71 8.0:-2.36 9.0:-4.13 ===
[11:25:41]   [T2 cal] source=per-protein(1AZM) slope=1.245 inter=-2.419
[11:26:44]   [T3 cal 5.0] slope=0.7337 inter=-4.8755 LOOCV=1.43
[11:27:46]   [T3 cal 5.5] slope=0.8279 inter=-4.6145 LOOCV=1.01
[11:28:48]   [T3 cal 6.0] slope=1.0304 inter=-4.5981 LOOCV=1.46
[11:29:50]   [T3 cal 6.5] slope=1.0326 inter=-3.5406 LOOCV=2.35
[11:30:52]   [T3 cal 7.0] slope=1.2471 inter=-3.247 LOOCV=1.69
[11:31:54]   [T3 cal 7.4] slope=1.2656 inter=-2.1626 LOOCV=1.7
[11:32:56]   [T3 cal 8.0] slope=1.0589 inter=-3.4895 LOOCV=1.01
[11:33:59]   [T3 cal 8.5] slope=1.1423 inter=-2.1656 LOOCV=2.37
[11:35:01]   [T3 cal 9.0] slope=1.1568 inter=-1.5388 LOOCV=1.17
[11:36:16]     [T1 1AZM pH5.0 native] target=+11 eff=+11.000 n=60 (76s)
[11:37:31]     [T1 1AZM pH5.0 n2] target=+9 eff=+9.000 n=60 (75s)
[11:38:45]     [T1 1AZM pH5.0 p2] target=+13 eff=+13.000 n=60 (75s)
[11:40:00]     [T1 1AZM pH5.0 n8] target=+3 eff=+3.000 n=60 (74s)
[11:41:15]     [T1 1AZM pH5.0 p8] target=+19 eff=+19.000 n=60 (75s)
[11:42:29]     [T1 1AZM pH5.5 native] target=+7 eff=+7.000 n=60 (75s)
[11:43:44]     [T1 1AZM pH5.5 n2] target=+5 eff=+5.000 n=60 (74s)
[11:44:58]     [T1 1AZM pH5.5 p2] target=+9 eff=+9.000 n=60 (74s)
[11:46:12]     [T1 1AZM pH5.5 n8] target=-1 eff=-1.000 n=60 (74s)
[11:47:27]     [T1 1AZM pH5.5 p8] target=+15 eff=+15.000 n=60 (74s)
[11:48:41]     [T1 1AZM pH6.0 native] target=+4 eff=+4.000 n=60 (74s)
[11:49:56]     [T1 1AZM pH6.0 n2] target=+2 eff=+2.000 n=60 (75s)
[11:51:10]     [T1 1AZM pH6.0 p2] target=+6 eff=+6.000 n=60 (74s)
[11:52:25]     [T1 1AZM pH6.0 n8] target=-4 eff=-4.000 n=60 (75s)
[11:53:39]     [T1 1AZM pH6.0 p8] target=+12 eff=+12.000 n=60 (75s)
[11:54:54]     [T1 1AZM pH6.5 native] target=+1 eff=+1.000 n=60 (74s)
[11:56:08]     [T1 1AZM pH6.5 n2] target=-1 eff=-1.000 n=60 (75s)
[11:57:23]     [T1 1AZM pH6.5 p2] target=+3 eff=+3.000 n=60 (74s)
[11:58:37]     [T1 1AZM pH6.5 n8] target=-7 eff=-7.000 n=60 (75s)
[11:59:52]     [T1 1AZM pH6.5 p8] target=+9 eff=+9.000 n=60 (75s)
[12:01:06]     [T1 1AZM pH7.0 native] target=-1 eff=-1.000 n=60 (74s)
[12:02:21]     [T1 1AZM pH7.0 n2] target=-3 eff=-3.000 n=60 (74s)
[12:03:35]     [T1 1AZM pH7.0 p2] target=+1 eff=+1.000 n=60 (74s)
[12:04:50]     [T1 1AZM pH7.0 n8] target=-9 eff=-9.000 n=60 (75s)
[12:06:04]     [T1 1AZM pH7.0 p8] target=+7 eff=+7.000 n=60 (75s)
[12:07:19]     [T1 1AZM pH7.4 native] target=-2 eff=-2.000 n=60 (75s)
[12:08:34]     [T1 1AZM pH7.4 n2] target=-4 eff=-4.000 n=60 (75s)
[12:09:48]     [T1 1AZM pH7.4 p2] target=+0 eff=+0.000 n=60 (74s)
[12:11:02]     [T1 1AZM pH7.4 n8] target=-10 eff=-10.000 n=60 (74s)
[12:12:17]     [T1 1AZM pH7.4 p8] target=+6 eff=+6.000 n=60 (74s)
[12:13:31]     [T1 1AZM pH8.0 native] target=-2 eff=-2.000 n=60 (75s)
[12:14:46]     [T1 1AZM pH8.0 n2] target=-4 eff=-4.000 n=60 (74s)
[12:16:00]     [T1 1AZM pH8.0 p2] target=+0 eff=+0.000 n=60 (75s)
[12:17:15]     [T1 1AZM pH8.0 n8] target=-10 eff=-10.000 n=60 (75s)
[12:18:29]     [T1 1AZM pH8.0 p8] target=+6 eff=+6.000 n=60 (74s)
[12:19:44]     [T1 1AZM pH8.5 native] target=-3 eff=-3.000 n=60 (74s)
[12:20:58]     [T1 1AZM pH8.5 n2] target=-5 eff=-5.000 n=60 (74s)
[12:22:12]     [T1 1AZM pH8.5 p2] target=-1 eff=-1.000 n=60 (74s)
[12:23:27]     [T1 1AZM pH8.5 n8] target=-11 eff=-11.000 n=60 (74s)
[12:24:41]     [T1 1AZM pH8.5 p8] target=+5 eff=+5.000 n=60 (74s)
[12:25:55]     [T1 1AZM pH9.0 native] target=-4 eff=-4.000 n=60 (74s)
[12:26:57]     [T1 1AZM pH9.0 n2] target=-6 eff=-6.000 n=60 (61s)
[12:28:02]     [T1 1AZM pH9.0 p2] target=-2 eff=-2.000 n=60 (65s)
[12:29:08]     [T1 1AZM pH9.0 n8] target=-12 eff=-12.000 n=60 (66s)
[12:30:14]     [T1 1AZM pH9.0 p8] target=+4 eff=+4.000 n=60 (66s)
[12:31:20]     [T2 1AZM pH5.0 native] target=+11 eff=+10.778 n=60 (66s)
[12:32:25]     [T2 1AZM pH5.0 n2] target=+9 eff=+9.172 n=60 (66s)
[12:33:31]     [T2 1AZM pH5.0 p2] target=+13 eff=+12.385 n=60 (66s)
[12:34:37]     [T2 1AZM pH5.0 n8] target=+3 eff=+4.353 n=60 (66s)
[12:35:43]     [T2 1AZM pH5.0 p8] target=+19 eff=+17.204 n=60 (66s)
[12:36:49]     [T2 1AZM pH5.5 native] target=+7 eff=+7.565 n=60 (66s)
[12:37:54]     [T2 1AZM pH5.5 n2] target=+5 eff=+5.959 n=60 (66s)
[12:39:00]     [T2 1AZM pH5.5 p2] target=+9 eff=+9.172 n=60 (66s)
[12:40:06]     [T2 1AZM pH5.5 n8] target=-1 eff=+1.140 n=60 (66s)
[12:41:12]     [T2 1AZM pH5.5 p8] target=+15 eff=+13.991 n=60 (66s)
[12:42:18]     [T2 1AZM pH6.0 native] target=+4 eff=+5.156 n=60 (66s)
[12:43:24]     [T2 1AZM pH6.0 n2] target=+2 eff=+3.549 n=60 (66s)
[12:44:30]     [T2 1AZM pH6.0 p2] target=+6 eff=+6.762 n=60 (66s)
[12:45:35]     [T2 1AZM pH6.0 n8] target=-4 eff=-1.270 n=60 (66s)
[12:46:41]     [T2 1AZM pH6.0 p8] target=+12 eff=+11.582 n=60 (66s)
[12:47:47]     [T2 1AZM pH6.5 native] target=+1 eff=+2.746 n=60 (66s)
[12:48:52]     [T2 1AZM pH6.5 n2] target=-1 eff=+1.140 n=60 (66s)
[12:49:58]     [T2 1AZM pH6.5 p2] target=+3 eff=+4.353 n=60 (66s)
[12:51:04]     [T2 1AZM pH6.5 n8] target=-7 eff=-3.680 n=60 (66s)
[12:52:09]     [T2 1AZM pH6.5 p8] target=+9 eff=+9.172 n=60 (66s)
[12:53:15]     [T2 1AZM pH7.0 native] target=-1 eff=+1.140 n=60 (66s)
[12:54:21]     [T2 1AZM pH7.0 n2] target=-3 eff=-0.467 n=60 (66s)
[12:55:27]     [T2 1AZM pH7.0 p2] target=+1 eff=+2.746 n=60 (66s)
[12:56:32]     [T2 1AZM pH7.0 n8] target=-9 eff=-5.286 n=60 (66s)
[12:57:38]     [T2 1AZM pH7.0 p8] target=+7 eff=+7.565 n=60 (66s)
[12:58:43]     [T2 1AZM pH7.4 native] target=-2 eff=+0.337 n=60 (66s)
[12:59:49]     [T2 1AZM pH7.4 n2] target=-4 eff=-1.270 n=60 (66s)
[13:00:55]     [T2 1AZM pH7.4 p2] target=+0 eff=+1.943 n=60 (66s)
[13:02:00]     [T2 1AZM pH7.4 n8] target=-10 eff=-6.089 n=60 (66s)
[13:03:06]     [T2 1AZM pH7.4 p8] target=+6 eff=+6.762 n=60 (66s)
[13:04:12]     [T2 1AZM pH8.0 native] target=-2 eff=+0.337 n=60 (66s)
[13:05:18]     [T2 1AZM pH8.0 n2] target=-4 eff=-1.270 n=60 (66s)
[13:06:24]     [T2 1AZM pH8.0 p2] target=+0 eff=+1.943 n=60 (66s)
[13:07:27]     [T2 1AZM pH8.0 n8] target=-10 eff=-6.089 n=60 (64s)
[13:08:25]     [T2 1AZM pH8.0 p8] target=+6 eff=+6.762 n=60 (57s)
[13:09:22]     [T2 1AZM pH8.5 native] target=-3 eff=-0.467 n=60 (57s)
[13:10:19]     [T2 1AZM pH8.5 n2] target=-5 eff=-2.073 n=60 (57s)
[13:11:16]     [T2 1AZM pH8.5 p2] target=-1 eff=+1.140 n=60 (57s)
[13:12:13]     [T2 1AZM pH8.5 n8] target=-11 eff=-6.892 n=60 (57s)
[13:13:09]     [T2 1AZM pH8.5 p8] target=+5 eff=+5.959 n=60 (56s)
[13:13:57]     [T2 1AZM pH9.0 native] target=-4 eff=-1.270 n=60 (48s)
[13:14:45]     [T2 1AZM pH9.0 n2] target=-6 eff=-2.876 n=60 (48s)
[13:15:33]     [T2 1AZM pH9.0 p2] target=-2 eff=+0.337 n=60 (48s)
[13:16:20]     [T2 1AZM pH9.0 n8] target=-12 eff=-7.696 n=60 (48s)
[13:17:08]     [T2 1AZM pH9.0 p8] target=+4 eff=+5.156 n=60 (48s)
[13:17:56]     [T3 1AZM pH5.0 native] target=+11 eff=+21.638 n=60 (48s)
[13:18:44]     [T3 1AZM pH5.0 n2] target=+9 eff=+18.912 n=60 (48s)
[13:19:33]     [T3 1AZM pH5.0 p2] target=+13 eff=+24.364 n=60 (48s)
[13:20:21]     [T3 1AZM pH5.0 n8] target=+3 eff=+10.734 n=60 (48s)
[13:21:09]     [T3 1AZM pH5.0 p8] target=+19 eff=+32.541 n=60 (48s)
[13:21:57]     [T3 1AZM pH5.5 native] target=+7 eff=+14.029 n=60 (48s)
[13:22:45]     [T3 1AZM pH5.5 n2] target=+5 eff=+11.613 n=60 (48s)
[13:23:32]     [T3 1AZM pH5.5 p2] target=+9 eff=+16.445 n=60 (48s)
[13:24:20]     [T3 1AZM pH5.5 n8] target=-1 eff=+4.366 n=60 (48s)
[13:25:08]     [T3 1AZM pH5.5 p8] target=+15 eff=+23.692 n=60 (48s)
[13:25:56]     [T3 1AZM pH6.0 native] target=+4 eff=+8.344 n=60 (48s)
[13:26:44]     [T3 1AZM pH6.0 n2] target=+2 eff=+6.403 n=60 (48s)
[13:27:32]     [T3 1AZM pH6.0 p2] target=+6 eff=+10.285 n=60 (48s)
[13:28:20]     [T3 1AZM pH6.0 n8] target=-4 eff=+0.580 n=60 (48s)
[13:29:08]     [T3 1AZM pH6.0 p8] target=+12 eff=+16.108 n=60 (48s)
[13:29:56]     [T3 1AZM pH6.5 native] target=+1 eff=+4.397 n=60 (48s)
[13:30:44]     [T3 1AZM pH6.5 n2] target=-1 eff=+2.460 n=60 (48s)
[13:31:32]     [T3 1AZM pH6.5 p2] target=+3 eff=+6.334 n=60 (48s)
[13:32:20]     [T3 1AZM pH6.5 n8] target=-7 eff=-3.350 n=60 (48s)
[13:33:08]     [T3 1AZM pH6.5 p8] target=+9 eff=+12.145 n=60 (48s)
[13:33:52]     [T3 1AZM pH7.0 native] target=-1 eff=+1.802 n=60 (45s)
[13:34:34]     [T3 1AZM pH7.0 n2] target=-3 eff=+0.198 n=60 (42s)
[13:35:16]     [T3 1AZM pH7.0 p2] target=+1 eff=+3.406 n=60 (42s)
[13:35:57]     [T3 1AZM pH7.0 n8] target=-9 eff=-4.613 n=60 (42s)
[13:36:39]     [T3 1AZM pH7.0 p8] target=+7 eff=+8.217 n=60 (42s)
[13:37:21]     [T3 1AZM pH7.4 native] target=-2 eff=+0.128 n=60 (42s)
[13:38:03]     [T3 1AZM pH7.4 n2] target=-4 eff=-1.452 n=60 (42s)
[13:38:44]     [T3 1AZM pH7.4 p2] target=+0 eff=+1.709 n=60 (42s)
[13:39:26]     [T3 1AZM pH7.4 n8] target=-10 eff=-6.193 n=60 (42s)
[13:40:08]     [T3 1AZM pH7.4 p8] target=+6 eff=+6.450 n=60 (42s)
[13:40:49]     [T3 1AZM pH8.0 native] target=-2 eff=+1.407 n=60 (42s)
[13:41:31]     [T3 1AZM pH8.0 n2] target=-4 eff=-0.482 n=60 (42s)
[13:42:13]     [T3 1AZM pH8.0 p2] target=+0 eff=+3.295 n=60 (42s)
[13:42:54]     [T3 1AZM pH8.0 n8] target=-10 eff=-6.148 n=60 (42s)
[13:43:36]     [T3 1AZM pH8.0 p8] target=+6 eff=+8.962 n=60 (42s)
[13:44:17]     [T3 1AZM pH8.5 native] target=-3 eff=-0.730 n=60 (42s)
[13:44:59]     [T3 1AZM pH8.5 n2] target=-5 eff=-2.481 n=60 (42s)
[13:45:41]     [T3 1AZM pH8.5 p2] target=-1 eff=+1.020 n=60 (42s)
[13:46:23]     [T3 1AZM pH8.5 n8] target=-11 eff=-7.734 n=60 (42s)
[13:47:04]     [T3 1AZM pH8.5 p8] target=+5 eff=+6.273 n=60 (42s)
[13:47:46]     [T3 1AZM pH9.0 native] target=-4 eff=-2.128 n=60 (42s)
[13:48:27]     [T3 1AZM pH9.0 n2] target=-6 eff=-3.857 n=60 (41s)
[13:49:09]     [T3 1AZM pH9.0 p2] target=-2 eff=-0.399 n=60 (41s)
[13:49:50]     [T3 1AZM pH9.0 n8] target=-12 eff=-9.043 n=60 (41s)
[13:50:31]     [T3 1AZM pH9.0 p8] target=+4 eff=+4.788 n=60 (41s)
[13:50:31] === 1AZM done (8691s) ===
[13:50:31] 
=== exp7b 采样完成 ===
