[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[11:25:41] 
=== 1BJ4 L=470 q@pH: 5.0:+21.24 6.0:+9.21 7.4:+0.42 8.0:-2.44 9.0:-9.78 ===
[11:25:41]   [T2 cal] source=per-protein(1BJ4) slope=2.488 inter=5.208
[11:27:35]   [T3 cal 5.0] slope=2.1466 inter=-9.4927 LOOCV=2.3
[11:29:29]   [T3 cal 5.5] slope=2.4615 inter=-8.1852 LOOCV=2.43
[11:31:22]   [T3 cal 6.0] slope=2.6457 inter=-5.4204 LOOCV=3.63
[11:33:15]   [T3 cal 6.5] slope=2.8191 inter=-1.5414 LOOCV=0.63
[11:35:08]   [T3 cal 7.0] slope=2.7366 inter=2.557 LOOCV=1.36
[11:37:02]   [T3 cal 7.4] slope=2.9559 inter=1.3787 LOOCV=0.26
[11:38:55]   [T3 cal 8.0] slope=3.0991 inter=3.2667 LOOCV=2.92
[11:40:48]   [T3 cal 8.5] slope=2.6738 inter=4.4498 LOOCV=3.41
[11:42:41]   [T3 cal 9.0] slope=2.4041 inter=2.1591 LOOCV=2.45
[11:44:57]     [T1 1BJ4 pH5.0 native] target=+21 eff=+21.000 n=60 (136s)
[11:47:13]     [T1 1BJ4 pH5.0 n2] target=+19 eff=+19.000 n=60 (136s)
[11:49:29]     [T1 1BJ4 pH5.0 p2] target=+23 eff=+23.000 n=60 (136s)
[11:51:45]     [T1 1BJ4 pH5.0 n8] target=+13 eff=+13.000 n=60 (136s)
[11:54:01]     [T1 1BJ4 pH5.0 p8] target=+29 eff=+29.000 n=60 (136s)
[11:56:17]     [T1 1BJ4 pH5.5 native] target=+15 eff=+15.000 n=60 (136s)
[11:58:33]     [T1 1BJ4 pH5.5 n2] target=+13 eff=+13.000 n=60 (136s)
[12:00:48]     [T1 1BJ4 pH5.5 p2] target=+17 eff=+17.000 n=60 (136s)
[12:03:04]     [T1 1BJ4 pH5.5 n8] target=+7 eff=+7.000 n=60 (136s)
[12:05:20]     [T1 1BJ4 pH5.5 p8] target=+23 eff=+23.000 n=60 (136s)
[12:07:35]     [T1 1BJ4 pH6.0 native] target=+9 eff=+9.000 n=60 (136s)
[12:09:51]     [T1 1BJ4 pH6.0 n2] target=+7 eff=+7.000 n=60 (136s)
[12:12:07]     [T1 1BJ4 pH6.0 p2] target=+11 eff=+11.000 n=60 (136s)
[12:14:23]     [T1 1BJ4 pH6.0 n8] target=+1 eff=+1.000 n=60 (136s)
[12:16:38]     [T1 1BJ4 pH6.0 p8] target=+17 eff=+17.000 n=60 (136s)
[12:18:54]     [T1 1BJ4 pH6.5 native] target=+5 eff=+5.000 n=60 (136s)
[12:21:09]     [T1 1BJ4 pH6.5 n2] target=+3 eff=+3.000 n=60 (135s)
[12:23:25]     [T1 1BJ4 pH6.5 p2] target=+7 eff=+7.000 n=60 (136s)
[12:25:41]     [T1 1BJ4 pH6.5 n8] target=-3 eff=-3.000 n=60 (136s)
