[11:25:38] == exp7b prot | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=mompnn_temberture_tm_esm_6_4_4_b01.ckpt enc=finetune_epoch030.pt
    条件编码器已加载: finetune_epoch030.pt  (epoch=30, n_tokens=4, token_dim=128)
[11:25:42] 
=== 3MXB_A L=153 q@pH: 5.0:+11.48 6.0:+9.18 7.4:+7.94 8.0:+7.58 9.0:+6.14 ===
[11:25:42]   [T2 cal] source=reuse onsite74 smallcal74.json slope=1.4754 inter=-1.3609
[11:26:20]   [T3 cal 5.0] slope=1.2254 inter=-3.4864 LOOCV=2.07
[11:26:57]   [T3 cal 5.5] slope=1.5021 inter=-3.1416 LOOCV=3.0
[11:27:35]   [T3 cal 6.0] slope=1.7113 inter=-5.4748 LOOCV=1.04
[11:28:13]   [T3 cal 6.5] slope=1.5861 inter=-2.3424 LOOCV=2.1
[11:28:50]   [T3 cal 7.0] slope=1.6378 inter=-2.1284 LOOCV=1.51
[11:29:28]   [T3 cal 7.4] slope=1.6463 inter=-3.2378 LOOCV=2.25
[11:30:05]   [T3 cal 8.0] slope=1.6102 inter=-1.6925 LOOCV=0.48
[11:30:43]   [T3 cal 8.5] slope=1.5158 inter=-1.7598 LOOCV=1.65
[11:31:21]   [T3 cal 9.0] slope=1.7882 inter=0.577 LOOCV=2.43
[11:32:06]     [T1 3MXB_A pH5.0 native] target=+11 eff=+11.000 n=60 (45s)
[11:32:51]     [T1 3MXB_A pH5.0 n2] target=+9 eff=+9.000 n=60 (45s)
[11:33:36]     [T1 3MXB_A pH5.0 p2] target=+13 eff=+13.000 n=60 (45s)
[11:34:21]     [T1 3MXB_A pH5.0 n8] target=+3 eff=+3.000 n=60 (45s)
[11:35:06]     [T1 3MXB_A pH5.0 p8] target=+19 eff=+19.000 n=60 (45s)
[11:35:51]     [T1 3MXB_A pH5.5 native] target=+10 eff=+10.000 n=60 (45s)
[11:36:37]     [T1 3MXB_A pH5.5 n2] target=+8 eff=+8.000 n=60 (46s)
[11:37:22]     [T1 3MXB_A pH5.5 p2] target=+12 eff=+12.000 n=60 (45s)
[11:38:07]     [T1 3MXB_A pH5.5 n8] target=+2 eff=+2.000 n=60 (45s)
[11:38:52]     [T1 3MXB_A pH5.5 p8] target=+18 eff=+18.000 n=60 (45s)
[11:39:37]     [T1 3MXB_A pH6.0 native] target=+9 eff=+9.000 n=60 (45s)
[11:40:22]     [T1 3MXB_A pH6.0 n2] target=+7 eff=+7.000 n=60 (45s)
[11:41:07]     [T1 3MXB_A pH6.0 p2] target=+11 eff=+11.000 n=60 (45s)
[11:41:52]     [T1 3MXB_A pH6.0 n8] target=+1 eff=+1.000 n=60 (45s)
[11:42:37]     [T1 3MXB_A pH6.0 p8] target=+17 eff=+17.000 n=60 (45s)
[11:43:23]     [T1 3MXB_A pH6.5 native] target=+9 eff=+9.000 n=60 (45s)
[11:44:08]     [T1 3MXB_A pH6.5 n2] target=+7 eff=+7.000 n=60 (45s)
[11:44:53]     [T1 3MXB_A pH6.5 p2] target=+11 eff=+11.000 n=60 (45s)
[11:45:38]     [T1 3MXB_A pH6.5 n8] target=+1 eff=+1.000 n=60 (45s)
[11:46:23]     [T1 3MXB_A pH6.5 p8] target=+17 eff=+17.000 n=60 (45s)
[11:47:08]     [T1 3MXB_A pH7.0 native] target=+8 eff=+8.000 n=60 (45s)
[11:47:53]     [T1 3MXB_A pH7.0 n2] target=+6 eff=+6.000 n=60 (45s)
[11:48:38]     [T1 3MXB_A pH7.0 p2] target=+10 eff=+10.000 n=60 (45s)
[11:49:23]     [T1 3MXB_A pH7.0 n8] target=+0 eff=+0.000 n=60 (45s)
[11:50:07]     [T1 3MXB_A pH7.0 p8] target=+16 eff=+16.000 n=60 (45s)
[11:50:52]     [T1 3MXB_A pH7.4 native] target=+8 eff=+8.000 n=60 (45s)
[11:51:37]     [T1 3MXB_A pH7.4 n2] target=+6 eff=+6.000 n=60 (45s)
[11:52:22]     [T1 3MXB_A pH7.4 p2] target=+10 eff=+10.000 n=60 (45s)
[11:53:07]     [T1 3MXB_A pH7.4 n8] target=+0 eff=+0.000 n=60 (45s)
[11:53:52]     [T1 3MXB_A pH7.4 p8] target=+16 eff=+16.000 n=60 (45s)
[11:54:37]     [T1 3MXB_A pH8.0 native] target=+8 eff=+8.000 n=60 (45s)
[11:55:22]     [T1 3MXB_A pH8.0 n2] target=+6 eff=+6.000 n=60 (45s)
[11:56:07]     [T1 3MXB_A pH8.0 p2] target=+10 eff=+10.000 n=60 (45s)
[11:56:52]     [T1 3MXB_A pH8.0 n8] target=+0 eff=+0.000 n=60 (45s)
[11:57:37]     [T1 3MXB_A pH8.0 p8] target=+16 eff=+16.000 n=60 (45s)
[11:58:22]     [T1 3MXB_A pH8.5 native] target=+7 eff=+7.000 n=60 (45s)
[11:59:07]     [T1 3MXB_A pH8.5 n2] target=+5 eff=+5.000 n=60 (45s)
[11:59:52]     [T1 3MXB_A pH8.5 p2] target=+9 eff=+9.000 n=60 (45s)
[12:00:37]     [T1 3MXB_A pH8.5 n8] target=-1 eff=-1.000 n=60 (45s)
[12:01:23]     [T1 3MXB_A pH8.5 p8] target=+15 eff=+15.000 n=60 (45s)
[12:02:08]     [T1 3MXB_A pH9.0 native] target=+6 eff=+6.000 n=60 (45s)
[12:02:53]     [T1 3MXB_A pH9.0 n2] target=+4 eff=+4.000 n=60 (45s)
[12:03:38]     [T1 3MXB_A pH9.0 p2] target=+8 eff=+8.000 n=60 (45s)
[12:04:23]     [T1 3MXB_A pH9.0 n8] target=-2 eff=-2.000 n=60 (45s)
[12:05:08]     [T1 3MXB_A pH9.0 p8] target=+14 eff=+14.000 n=60 (45s)
[12:05:53]     [T2 3MXB_A pH5.0 native] target=+11 eff=+8.378 n=60 (45s)
[12:06:38]     [T2 3MXB_A pH5.0 n2] target=+9 eff=+7.022 n=60 (45s)
[12:07:23]     [T2 3MXB_A pH5.0 p2] target=+13 eff=+9.734 n=60 (45s)
[12:08:09]     [T2 3MXB_A pH5.0 n8] target=+3 eff=+2.956 n=60 (45s)
[12:08:54]     [T2 3MXB_A pH5.0 p8] target=+19 eff=+13.800 n=60 (45s)
[12:09:39]     [T2 3MXB_A pH5.5 native] target=+10 eff=+7.700 n=60 (45s)
[12:10:24]     [T2 3MXB_A pH5.5 n2] target=+8 eff=+6.345 n=60 (45s)
[12:11:09]     [T2 3MXB_A pH5.5 p2] target=+12 eff=+9.056 n=60 (46s)
[12:11:54]     [T2 3MXB_A pH5.5 n8] target=+2 eff=+2.278 n=60 (45s)
[12:12:39]     [T2 3MXB_A pH5.5 p8] target=+18 eff=+13.122 n=60 (45s)
[12:13:24]     [T2 3MXB_A pH6.0 native] target=+9 eff=+7.022 n=60 (45s)
[12:14:09]     [T2 3MXB_A pH6.0 n2] target=+7 eff=+5.667 n=60 (45s)
[12:14:54]     [T2 3MXB_A pH6.0 p2] target=+11 eff=+8.378 n=60 (45s)
[12:15:40]     [T2 3MXB_A pH6.0 n8] target=+1 eff=+1.600 n=60 (45s)
[12:16:25]     [T2 3MXB_A pH6.0 p8] target=+17 eff=+12.445 n=60 (45s)
[12:17:10]     [T2 3MXB_A pH6.5 native] target=+9 eff=+7.022 n=60 (45s)
[12:17:54]     [T2 3MXB_A pH6.5 n2] target=+7 eff=+5.667 n=60 (45s)
[12:18:40]     [T2 3MXB_A pH6.5 p2] target=+11 eff=+8.378 n=60 (45s)
[12:19:25]     [T2 3MXB_A pH6.5 n8] target=+1 eff=+1.600 n=60 (45s)
[12:20:11]     [T2 3MXB_A pH6.5 p8] target=+17 eff=+12.445 n=60 (46s)
[12:20:56]     [T2 3MXB_A pH7.0 native] target=+8 eff=+6.345 n=60 (45s)
[12:21:41]     [T2 3MXB_A pH7.0 n2] target=+6 eff=+4.989 n=60 (45s)
[12:22:26]     [T2 3MXB_A pH7.0 p2] target=+10 eff=+7.700 n=60 (45s)
[12:23:11]     [T2 3MXB_A pH7.0 n8] target=+0 eff=+0.922 n=60 (45s)
[12:23:56]     [T2 3MXB_A pH7.0 p8] target=+16 eff=+11.767 n=60 (45s)
[12:24:41]     [T2 3MXB_A pH7.4 native] target=+8 eff=+6.345 n=60 (45s)
[12:25:26]     [T2 3MXB_A pH7.4 n2] target=+6 eff=+4.989 n=60 (45s)
[12:26:11]     [T2 3MXB_A pH7.4 p2] target=+10 eff=+7.700 n=60 (45s)
[12:26:46]     [T2 3MXB_A pH7.4 n8] target=+0 eff=+0.922 n=60 (35s)
[12:27:24]     [T2 3MXB_A pH7.4 p8] target=+16 eff=+11.767 n=60 (38s)
[12:28:03]     [T2 3MXB_A pH8.0 native] target=+8 eff=+6.345 n=60 (40s)
[12:28:43]     [T2 3MXB_A pH8.0 n2] target=+6 eff=+4.989 n=60 (40s)
[12:29:23]     [T2 3MXB_A pH8.0 p2] target=+10 eff=+7.700 n=60 (40s)
[12:30:03]     [T2 3MXB_A pH8.0 n8] target=+0 eff=+0.922 n=60 (40s)
[12:30:43]     [T2 3MXB_A pH8.0 p8] target=+16 eff=+11.767 n=60 (40s)
[12:31:22]     [T2 3MXB_A pH8.5 native] target=+7 eff=+5.667 n=60 (40s)
[12:32:02]     [T2 3MXB_A pH8.5 n2] target=+5 eff=+4.311 n=60 (40s)
[12:32:42]     [T2 3MXB_A pH8.5 p2] target=+9 eff=+7.022 n=60 (40s)
[12:33:22]     [T2 3MXB_A pH8.5 n8] target=-1 eff=+0.245 n=60 (40s)
[12:34:01]     [T2 3MXB_A pH8.5 p8] target=+15 eff=+11.089 n=60 (40s)
[12:34:41]     [T2 3MXB_A pH9.0 native] target=+6 eff=+4.989 n=60 (40s)
[12:35:21]     [T2 3MXB_A pH9.0 n2] target=+4 eff=+3.634 n=60 (40s)
[12:36:01]     [T2 3MXB_A pH9.0 p2] target=+8 eff=+6.345 n=60 (40s)
[12:36:40]     [T2 3MXB_A pH9.0 n8] target=-2 eff=-0.433 n=60 (40s)
[12:37:20]     [T2 3MXB_A pH9.0 p8] target=+14 eff=+10.411 n=60 (40s)
[12:38:00]     [T3 3MXB_A pH5.0 native] target=+11 eff=+11.822 n=60 (40s)
[12:38:40]     [T3 3MXB_A pH5.0 n2] target=+9 eff=+10.190 n=60 (40s)
[12:39:19]     [T3 3MXB_A pH5.0 p2] target=+13 eff=+13.454 n=60 (40s)
[12:39:59]     [T3 3MXB_A pH5.0 n8] target=+3 eff=+5.293 n=60 (40s)
[12:40:39]     [T3 3MXB_A pH5.0 p8] target=+19 eff=+18.350 n=60 (40s)
[12:41:19]     [T3 3MXB_A pH5.5 native] target=+10 eff=+8.749 n=60 (40s)
[12:41:59]     [T3 3MXB_A pH5.5 n2] target=+8 eff=+7.417 n=60 (40s)
[12:42:38]     [T3 3MXB_A pH5.5 p2] target=+12 eff=+10.080 n=60 (40s)
[12:43:18]     [T3 3MXB_A pH5.5 n8] target=+2 eff=+3.423 n=60 (40s)
[12:43:58]     [T3 3MXB_A pH5.5 p8] target=+18 eff=+14.075 n=60 (40s)
[12:44:38]     [T3 3MXB_A pH6.0 native] target=+9 eff=+8.458 n=60 (40s)
[12:45:18]     [T3 3MXB_A pH6.0 n2] target=+7 eff=+7.290 n=60 (40s)
[12:45:58]     [T3 3MXB_A pH6.0 p2] target=+11 eff=+9.627 n=60 (40s)
[12:46:38]     [T3 3MXB_A pH6.0 n8] target=+1 eff=+3.784 n=60 (40s)
[12:47:18]     [T3 3MXB_A pH6.0 p8] target=+17 eff=+13.133 n=60 (40s)
[12:47:57]     [T3 3MXB_A pH6.5 native] target=+9 eff=+7.151 n=60 (40s)
[12:48:37]     [T3 3MXB_A pH6.5 n2] target=+7 eff=+5.890 n=60 (40s)
[12:49:17]     [T3 3MXB_A pH6.5 p2] target=+11 eff=+8.412 n=60 (40s)
[12:49:57]     [T3 3MXB_A pH6.5 n8] target=+1 eff=+2.107 n=60 (40s)
[12:50:37]     [T3 3MXB_A pH6.5 p8] target=+17 eff=+12.195 n=60 (40s)
[12:51:17]     [T3 3MXB_A pH7.0 native] target=+8 eff=+6.184 n=60 (40s)
[12:51:57]     [T3 3MXB_A pH7.0 n2] target=+6 eff=+4.963 n=60 (40s)
[12:52:37]     [T3 3MXB_A pH7.0 p2] target=+10 eff=+7.405 n=60 (40s)
[12:53:17]     [T3 3MXB_A pH7.0 n8] target=+0 eff=+1.300 n=60 (40s)
[12:53:57]     [T3 3MXB_A pH7.0 p8] target=+16 eff=+11.069 n=60 (40s)
[12:54:37]     [T3 3MXB_A pH7.4 native] target=+8 eff=+6.826 n=60 (40s)
[12:55:17]     [T3 3MXB_A pH7.4 n2] target=+6 eff=+5.611 n=60 (40s)
[12:55:57]     [T3 3MXB_A pH7.4 p2] target=+10 eff=+8.041 n=60 (40s)
[12:56:37]     [T3 3MXB_A pH7.4 n8] target=+0 eff=+1.967 n=60 (40s)
[12:57:16]     [T3 3MXB_A pH7.4 p8] target=+16 eff=+11.685 n=60 (40s)
[12:57:56]     [T3 3MXB_A pH8.0 native] target=+8 eff=+6.019 n=60 (40s)
[12:58:36]     [T3 3MXB_A pH8.0 n2] target=+6 eff=+4.777 n=60 (40s)
[12:59:16]     [T3 3MXB_A pH8.0 p2] target=+10 eff=+7.262 n=60 (40s)
[12:59:56]     [T3 3MXB_A pH8.0 n8] target=+0 eff=+1.051 n=60 (40s)
[13:00:36]     [T3 3MXB_A pH8.0 p8] target=+16 eff=+10.988 n=60 (40s)
[13:01:16]     [T3 3MXB_A pH8.5 native] target=+7 eff=+5.779 n=60 (40s)
[13:01:56]     [T3 3MXB_A pH8.5 n2] target=+5 eff=+4.460 n=60 (40s)
[13:02:36]     [T3 3MXB_A pH8.5 p2] target=+9 eff=+7.098 n=60 (40s)
[13:03:16]     [T3 3MXB_A pH8.5 n8] target=-1 eff=+0.501 n=60 (40s)
[13:03:55]     [T3 3MXB_A pH8.5 p8] target=+15 eff=+11.057 n=60 (40s)
[13:04:35]     [T3 3MXB_A pH9.0 native] target=+6 eff=+3.033 n=60 (40s)
[13:05:15]     [T3 3MXB_A pH9.0 n2] target=+4 eff=+1.914 n=60 (40s)
[13:05:55]     [T3 3MXB_A pH9.0 p2] target=+8 eff=+4.151 n=60 (40s)
[13:06:35]     [T3 3MXB_A pH9.0 n8] target=-2 eff=-1.441 n=60 (40s)
[13:07:15]     [T3 3MXB_A pH9.0 p8] target=+14 eff=+7.506 n=60 (40s)
[13:07:15] === 3MXB_A done (6093s) ===
[13:07:15] 
=== exp7b 采样完成 ===
