[16:58:10] === ConfuMPNN Phase 2 条件微调启动（v10）===
[16:58:10] device=cuda:4  epochs=1  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[16:58:10] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[16:58:10] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[16:58:10] [v10 C] pH 自适应结构惩罚开：boost=1.5
[16:58:10] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[16:58:11] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[16:58:11] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[16:58:12] 数据：50 结构域 × 8 pH = 400 样本（data/ligand_train/labels_smoke_v14_final.npz）
[16:58:12]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[16:58:13]   ℹ️ 1OE7.pdb 分区 pocket=46/407 core=179 surface=199
[16:58:13]   ℹ️ 1PM7.pdb 分区 pocket=67/398 core=182 surface=168
[16:58:14]   ℹ️ 1GRB.pdb 分区 pocket=87/461 core=182 surface=226
[16:58:14]   ℹ️ 1EST.pdb resnum 对齐 228/240（12 个非标准/parse独有残基 frac=0）
[16:58:14]   ℹ️ 1EST.pdb 分区 pocket=27/240 core=127 surface=103
[16:58:14]   ℹ️ 1EYI.pdb 分区 pocket=43/331 core=155 surface=148
[16:58:15]   ℹ️ 1DZT.pdb 分区 pocket=101/366 core=146 surface=162
[16:58:15]   ℹ️ 1CHC.pdb 分区 pocket=30/68 core=6 surface=49
[16:58:15]   ℹ️ 1CML.pdb 分区 pocket=59/389 core=190 surface=165
[16:58:15]   ℹ️ 1ITO.pdb 分区 pocket=26/251 core=119 surface=116
[16:58:15]   ℹ️ 1MHU.pdb 分区 pocket=29/31 core=0 surface=23
[16:58:16]   ℹ️ 1QZY.pdb 分区 pocket=51/355 core=163 surface=155
[16:58:16]   ℹ️ 1OQ9.pdb 分区 pocket=22/338 core=164 surface=156
[16:58:16]   ℹ️ 1EXM.pdb 分区 pocket=35/403 core=201 surface=177
[16:58:17]   ℹ️ 1ARV.pdb 分区 pocket=90/336 core=119 surface=147
[16:58:17]   ℹ️ 1NGI.pdb 分区 pocket=49/378 core=165 surface=174
[16:58:17]   ℹ️ 1JQZ.pdb resnum 对齐 270/282（12 个非标准/parse独有残基 frac=0）
[16:58:17]   ℹ️ 1JQZ.pdb 分区 pocket=39/282 core=146 surface=116
[16:58:18]   ℹ️ 1D1G.pdb 分区 pocket=117/328 core=110 surface=156
[16:58:18]   ℹ️ 1A9U.pdb 分区 pocket=33/345 core=155 surface=168
[16:58:18]   ℹ️ 1IOZ.pdb 分区 pocket=34/162 core=60 surface=83
[16:58:18]   ℹ️ 1AKK.pdb 分区 pocket=42/104 core=15 surface=67
[16:58:19]   ℹ️ 1AL8.pdb 分区 pocket=58/344 core=150 surface=152
[16:58:19]   ℹ️ 1P1M.pdb 分区 pocket=8/405 core=233 surface=164
[16:58:20]   ℹ️ 1CA2.pdb 分区 pocket=22/256 core=121 surface=117
[16:58:20]   ℹ️ 1DZJ.pdb 分区 pocket=59/296 core=94 surface=154
[16:58:20]   ℹ️ 1BP7_A.pdb 分区 pocket=63/152 core=43 surface=70
[16:58:21]   ℹ️ 1G59_A.pdb 分区 pocket=108/468 core=200 surface=195
[16:58:21]   ℹ️ 2V3C_A.pdb 分区 pocket=38/87 core=27 surface=38
[16:58:21]   ℹ️ 2V3C_C.pdb 分区 pocket=73/403 core=166 surface=204
[16:58:21]   ℹ️ 2V3C_D.pdb 分区 pocket=42/401 core=175 surface=208
[16:58:22]   ℹ️ 2ZZN_A.pdb 分区 pocket=116/336 core=113 surface=153
[16:58:22]   ℹ️ 2ZZN_B.pdb 分区 pocket=122/335 core=108 surface=161
[16:58:22]   ℹ️ 3HOT_A.pdb 分区 pocket=109/338 core=94 surface=196
