[05:26:45] === ConfuMPNN Phase 2 条件微调启动（v10）===
[05:26:45] device=cuda:6  epochs=16  lr=0.001  λ_c=0.5  λ_kl=0.05  λ_keep=0.5  perturb_prob=0.3  perturb_scale=4.0  placeholder_prob=0.15  charge_temp=0.5
[05:26:45] [v11 A-fix] 绝对 target 采样开：target ∈ Uniform[-35.0, 20.0]，与 native 无关（覆盖验证深负靶区）
[05:26:45] [v12] 训练侧监督开：组成双计数(floor=0.5) + GRAVY(margin=0.4)  λ_v12=0.2  λ_target=0.2  SASA θ=0.25
[05:26:45] [v10 C] pH 自适应结构惩罚开：boost=1.5
[05:26:45] [A1 global] 计数锚覆盖 surface∪pocket：floor=0.8 ceil=1.3 λ_pocket=0.3 cutoff=8.0
[05:26:47] backbone: MoMPNN 冻结（2.62M 参数，不更新）
[05:26:47] ConditionEncoder 可训练（74880 参数，唯一更新对象）
[05:26:47] 数据：1364 结构域 × 8 pH = 10912 样本（ablation/data/labels_ablate_lig.npz）
[05:26:48]   ℹ️ 1JCG.pdb 分区 pocket=53/335 core=140 surface=153
[05:26:49]   ℹ️ 1GRB.pdb 分区 pocket=87/461 core=182 surface=226
[05:26:49]   ℹ️ 1EST.pdb resnum 对齐 228/240（12 个非标准/parse独有残基 frac=0）
[05:26:49]   ℹ️ 1EST.pdb 分区 pocket=27/240 core=127 surface=103
[05:26:49]   ℹ️ 1ITO.pdb 分区 pocket=26/251 core=119 surface=116
[05:26:49]   ℹ️ 1MHU.pdb 分区 pocket=29/31 core=0 surface=23
[05:26:50]   ℹ️ 1EXM.pdb 分区 pocket=35/403 core=201 surface=177
[05:26:50]   ℹ️ 1D1G.pdb 分区 pocket=117/328 core=110 surface=156
[05:26:51]   ℹ️ 1ASC.pdb 分区 pocket=30/396 core=187 surface=183
[05:26:51]   ℹ️ 1DF7.pdb 分区 pocket=83/159 core=29 surface=82
[05:26:51]   ℹ️ 1BQE.pdb 分区 pocket=41/295 core=122 surface=149
[05:26:52]   ℹ️ 1P0E.pdb 分区 pocket=42/363 core=176 surface=154
[05:26:52]   ℹ️ 1BCD.pdb 分区 pocket=34/258 core=110 surface=119
