蛋白     类            L 模式     臂       目标     均值   dev  达标    rec   pkt  gravy   TM中位 TM≥0.7 TM<0.5   RMSD  pLDDT
1A65   long       504 ligand native -27 -27.61  0.61   ✓ 0.514 0.488 -0.123  0.965    1.0    0.0   1.69   81.0
1A65   long       504 ligand n2     -29 -28.47  0.53   ✓ 0.512 0.485 -0.125  0.964    1.0    0.0   1.73   81.1
1A65   long       504 ligand p2     -25 -25.72  0.72   ✓ 0.518 0.491 -0.108  0.965    1.0    0.0   1.67   80.9
1A65   long       504 ligand n8     -35 -32.05  2.95   ✗ 0.507 0.472 -0.154  0.962    1.0    0.0   1.71   80.2
1A65   long       504 ligand p8     -19  -20.9   1.9   ✓ 0.522 0.489 -0.074  0.967    1.0    0.0   1.65   81.4
1AG0   metal      256 ligand native  -8  -6.02  1.98   ✓ 0.469  0.56 -0.201  0.494    0.0    1.0   0.73   85.1
1AG0   metal      256 ligand n2     -10  -8.67  1.33   ✓ 0.466 0.555 -0.225  0.493    0.0    1.0   0.71   84.9
1AG0   metal      256 ligand p2      -6  -4.87  1.13   ✓ 0.471 0.558 -0.171  0.494    0.0    1.0   0.67   85.2
1AG0   metal      256 ligand n8     -16 -16.21  0.21   ✓ 0.458 0.567 -0.282  0.493    0.0    1.0   0.74   84.4
1AG0   metal      256 ligand p8       0   0.59  0.59   ✓ 0.466 0.545 -0.144  0.493    0.0    1.0   0.69   84.9
1AS2   rna        312 ligand native  -3  -7.15  4.15   ✗ 0.366 0.379 -0.052  0.941    1.0    0.0   1.77   82.2
1AS2   rna        312 ligand n2      -5  -8.97  3.97   ✗ 0.367 0.378 -0.071   0.94    1.0    0.0   1.78   81.6
1AS2   rna        312 ligand p2      -1  -4.98  3.98   ✗ 0.365 0.377 -0.033  0.933    1.0    0.0   1.85   82.0
1AS2   rna        312 ligand n8     -11 -13.75  2.75   ✗  0.37 0.379 -0.093  0.943    1.0    0.0   1.75   81.3
1AS2   rna        312 ligand p8       5   2.09  2.91   ✗ 0.366 0.388 -0.019  0.932    1.0    0.0   1.94   81.7
1AXW   rna        528 ligand native -18 -19.67  1.67   ✓ 0.471 0.441  0.179  0.533  0.467  0.267   2.08   79.6
1AXW   rna        528 ligand n2     -20 -21.47  1.47   ✓ 0.473 0.444  0.172  0.919  0.567    0.2   2.02   79.4
1AXW   rna        528 ligand p2     -16 -17.69  1.69   ✓ 0.473 0.447  0.185  0.698    0.5  0.267   1.88   79.7
1AXW   rna        528 ligand n8     -26 -26.72  0.72   ✓ 0.476 0.454  0.137    0.7    0.5  0.267   1.95   80.1
1AXW   rna        528 ligand p8     -10 -12.32  2.32   ✗ 0.473 0.449  0.221  0.558  0.467    0.3   1.67   80.3
1AZM   small_mol  258 ligand native  -2  -3.57  1.57   ✓ 0.487 0.587 -0.389  0.984    1.0    0.0   0.81   86.9
1AZM   small_mol  258 ligand n2      -4  -5.92  1.92   ✓ 0.489 0.593 -0.408  0.984    1.0    0.0   0.79   86.8
1AZM   small_mol  258 ligand p2       0  -1.11  1.11   ✓ 0.487 0.589 -0.384  0.984    1.0    0.0   0.79   87.0
1AZM   small_mol  258 ligand n8     -10 -12.08  2.08   ✗ 0.478   0.6 -0.436  0.985    1.0    0.0   0.76   87.0
1AZM   small_mol  258 ligand p8       6   5.67  0.33   ✓ 0.482   0.6 -0.373  0.984    1.0    0.0   0.76   87.0
1BJ4   long       470 ligand native   0  -2.69  2.69   ✗ 0.433  0.34  0.004  0.921    1.0    0.0   2.07   78.6
1BJ4   long       470 ligand n2      -2  -4.82  2.82   ✗ 0.432 0.336 -0.011  0.922    1.0    0.0   2.08   78.2
1BJ4   long       470 ligand p2       2   0.05  1.95   ✓ 0.433 0.338  0.018  0.924    1.0    0.0   2.03   78.4
1BJ4   long       470 ligand n8      -8  -12.5   4.5   ✗ 0.434 0.336 -0.061  0.924    1.0    0.0   2.01   78.2
1BJ4   long       470 ligand p8       8   7.23  0.77   ✓ 0.431 0.353  0.016  0.928    1.0    0.0   2.08   78.3
1C6O   small_mol  177 ligand native -14  -16.1   2.1   ✗ 0.544 0.569 -0.188  0.519    0.0    0.3    2.3   84.5
1C6O   small_mol  177 ligand n2     -16 -18.78  2.78   ✗ 0.544  0.57 -0.209  0.522    0.0    0.3   2.33   84.9
1C6O   small_mol  177 ligand p2     -12 -13.53  1.53   ✓ 0.547 0.575 -0.153  0.514    0.0  0.233   2.29   84.6
1C6O   small_mol  177 ligand n8     -22 -25.03  3.03   ✗ 0.531 0.551 -0.295  0.516    0.0    0.3   2.29   85.6
1C6O   small_mol  177 ligand p8      -6  -6.72  0.72   ✓ 0.541 0.569 -0.078  0.517    0.0    0.3   2.23   84.9
1CGE   metal      162 ligand native -12 -12.96  0.96   ✓ 0.544 0.631  -0.52  0.969    1.0    0.0   1.02   85.9
1CGE   metal      162 ligand n2     -14 -15.15  1.15   ✓ 0.542 0.625 -0.529   0.97    1.0    0.0   0.99   85.6
1CGE   metal      162 ligand p2     -10 -10.53  0.53   ✓ 0.544 0.631   -0.5  0.967    1.0    0.0   1.06   86.2
1CGE   metal      162 ligand n8     -20 -21.86  1.86   ✓ 0.542 0.624 -0.574  0.972    1.0    0.0   0.93   86.0
1CGE   metal      162 ligand p8      -4  -3.72  0.28   ✓ 0.531 0.616 -0.493  0.963    1.0    0.0   1.13   85.3
2FEO   dna        221 ligand native  -7  -8.38  1.38   ✓ 0.333 0.338  0.226   0.92    1.0    0.0   1.77   77.1
2FEO   dna        221 ligand n2      -9 -10.65  1.65   ✓ 0.333  0.34   0.18  0.917    1.0    0.0   1.79   77.2
